Ord,Player Name,Season,League,Team ID,Primary Position,Nationality,DOB,Apps,Mins,RATING,SCORING,CREATING,PASSING,DEFENDING,Goals,Shots,Conversion,Positioning,Assists,Crossing,Dribbling,Carries,Involvement,Accuracy,Intent,Receiving,Aerial,On Ball,Off Ball,Fouls
1,Tyler Adams RB Leipzig 2019,2019,Bundesliga,RB Leipzig,Defensive Midfield,USA,1999,14,68,2.6,2.07,2.62,3.06,2.18,1.98,2.02,1.56,3.08,2.4,3.2,2.08,2.87,3.4,2.82,2.37,3.25,1.87,2.1,1.69,3.87
2,Daniel Baier Augsburg 2019,2019,Bundesliga,Augsburg,Defensive Midfield,GER,1984,23,84,2.01,2.06,2,1.82,2.25,1.86,1.81,3.01,1.99,2.1,2.05,2.12,1.63,1.76,1.63,1.95,1.95,2.19,0.81,3.19,2.29
3,Julian Baumgartlinger Leverkusen 2019,2019,Bundesliga,Leverkusen,Defensive Midfield,AUT,1988,27,66,2.63,3.09,2.32,2.88,2.27,3.33,3.09,2.97,2.39,2.82,2.05,2.21,2.07,2.89,3.73,2.46,2.89,1.89,3.09,1.82,2.43
4,Lars Bender Leverkusen 2019,2019,Bundesliga,Leverkusen,Defensive Midfield,GER,1989,18,76,3.18,3.07,3.21,3.43,2.85,2.72,2.33,4.48,3.73,2.96,3.74,2.63,3.62,3.68,2.92,3.34,3.17,2.8,3.46,2.44,2.93
5,Sven Bender Leverkusen 2019,2019,Bundesliga,Leverkusen,Defensive Midfield,GER,1989,33,83,3.1,2.4,2.04,3.73,3.25,2.42,2.11,3.16,1.88,1.47,1.68,1.92,3.4,4.55,4.09,1.9,3.8,3.68,2.51,3.44,3.59
6,Adam Bodzek Düsseldorf 2019,2019,Bundesliga,Düsseldorf,Defensive Midfield,GER,1985,28,72,1.73,1.93,1.58,1.5,2.08,2,2.09,1.68,1.76,1.71,1.89,1.5,1.11,1.2,2.34,1.67,1.57,2.23,2.25,2,1.89
7,Emre Can Dortmund 2019,2019,Bundesliga,Dortmund,Defensive Midfield,GER,1994,12,80,3.01,3.55,2.88,3.38,2.32,3.41,3.51,4.22,3.25,2.05,2.25,3.73,3.75,3.67,3.56,2.48,3.69,2.31,2.84,1.98,2.35
8,Diego Demme RB Leipzig 2019,2019,Bundesliga,RB Leipzig,Defensive Midfield,GER,1991,17,71,3.15,2.27,3.05,4.02,2.39,2.18,1.98,1.68,3.81,3.08,2.39,2.76,4.15,4.3,3.13,4.04,3.82,1.57,3.4,1.97,2.56
9,Klaus Gjasula Paderborn 07 2019,2019,Bundesliga,Paderborn 07,Defensive Midfield,ALB,1989,29,79,2.39,2.57,2.53,2.24,2.42,2.53,2.19,3.5,2.2,2.93,1.92,3.1,2.02,2.06,1.64,2.79,2.34,2.94,3,2.48,0.77
10,Florian Grillitsch Hoffenheim 2019,2019,Bundesliga,Hoffenheim,Defensive Midfield,AUT,1995,31,78,2.87,1.92,2.94,3.34,2.59,1.98,1.87,1.56,2.23,3.03,2.31,2.75,3.82,3.45,3.52,3.08,3.27,2.14,2.3,2.64,3.38
11,Christian Groß Werder Bremen 2019,2019,Bundesliga,Werder Bremen,Defensive Midfield,GER,1989,14,62,2.22,1.7,2.53,2.34,2.07,1.83,1.45,1.81,1.57,1.73,2.27,2.7,3.76,2.28,3.69,1.65,2.61,1.81,1.57,2.21,2.78
12,Marko Grujić Hertha BSC 2019,2019,Bundesliga,Hertha BSC,Defensive Midfield,SRB,1996,29,83,2.36,3.93,2.36,2.04,2.1,4.44,4.65,2.59,2.62,2.13,1.94,3.18,2.16,1.79,2.05,2.42,2.16,3.45,2.1,1.93,1.22
13,Josuha Guilavogui Wolfsburg 2019,2019,Bundesliga,Wolfsburg,Defensive Midfield,FRA,1990,25,82,2.22,2.06,2.12,2.1,2.53,2.02,2.69,1.44,1.94,2.14,1.87,2.7,1.71,1.94,2.16,2.37,2.15,2.97,2.04,3.18,1.24
14,Makoto Hasebe Eint Frankfurt 2019,2019,Bundesliga,Eint Frankfurt,Defensive Midfield,JPN,1984,23,86,2.69,1.36,2.44,3.12,2.87,1.21,1.14,2.06,1.4,2.1,1.72,1.93,4.44,3.21,3.48,2.97,2.87,2.15,2.15,3.23,3.88
15,Jonas Hector Köln 2019,2019,Bundesliga,Köln,Defensive Midfield,GER,1990,29,84,2.61,3.2,2.63,2.33,2.73,2.99,3.02,4.06,3.1,3.09,3.29,1.84,2.14,2.18,1.97,2.71,2.47,3.08,3.24,2.27,2.73
16,Nicolas Höfler Freiburg 2019,2019,Bundesliga,Freiburg,Defensive Midfield,GER,1990,32,87,2.43,2.49,2.39,2.36,2.51,2.79,2.55,1.9,2.12,2.05,1.91,3.12,2.56,2.23,2.52,2.5,2.45,2.63,1.72,3.22,1.93
