Ord,Player Name,Season,League,Team ID,Primary Position,Nationality,DOB,Apps,Mins,RATING,SCORING,CREATING,PASSING,DEFENDING,Goals,Shots,Conversion,Positioning,Assists,Crossing,Dribbling,Carries,Involvement,Accuracy,Intent,Receiving,Aerial,On Ball,Off Ball,Fouls
1,David Abraham Eint Frankfurt 2019,2019,Bundesliga,Eint Frankfurt,Centre-Back,ARG,1986,20,84,2.47,3.36,2.46,2.14,2.52,3.82,2.89,3.53,2.6,2,2.49,2.98,2.22,1.74,2.16,2.67,1.99,2.45,2.59,2.07,2.83
2,Manuel Akanji Dortmund 2019,2019,Bundesliga,Dortmund,Centre-Back,SUI,1995,29,80,2.72,1.94,2.73,3.54,2.26,1.98,2.01,1.69,2.21,2.04,1.78,2.36,3.78,3.79,3.79,2.68,3.68,1.58,2.37,1.27,3.59
3,Kevin Akpoguma Hoffenheim 2019,2019,Bundesliga,Hoffenheim,Centre-Back,NGA,1995,18,63,2.25,1.59,2.16,2.38,2.36,1.54,1.28,1.93,1.7,1.56,1.97,2.11,2.57,2.64,2.55,1.62,2.56,1.31,2.46,2.56,3.16
4,David Alaba Bayern Munich 2019,2019,Bundesliga,Bayern Munich,Centre-Back,AUT,1992,28,89,3.2,2.46,4.11,4.4,1.95,2.02,2.74,2.43,3.23,4.51,4.27,2.03,5.63,4.78,3.69,5.59,4.18,0.58,1.92,1.27,3.99
5,Kaan Ayhan Düsseldorf 2019,2019,Bundesliga,Düsseldorf,Centre-Back,TUR,1994,31,88,2.46,3.07,3.02,2.74,1.78,3.26,3.37,2.4,3.21,4.11,3.39,2.51,2.77,2.48,2.6,3.49,2.55,1.11,2.35,1.32,2.01
6,Ermin Bičakčić Hoffenheim 2019,2019,Bundesliga,Hoffenheim,Centre-Back,BIH,1990,21,56,2.69,3.34,2.12,2.86,2.66,3.11,2.7,4.82,2.42,2.18,2.32,1.43,2.59,2.71,3.16,2.6,2.77,3.6,1.32,2.54,3.72
7,Jérôme Boateng Bayern Munich 2019,2019,Bundesliga,Bayern Munich,Centre-Back,GER,1988,24,75,2.69,1.79,2.29,3.9,2.14,1.71,1.83,1.81,1.92,2.94,2.31,0.89,3.19,4.49,3.63,3.94,3.8,2.43,2,1.76,2.33
8,Sebastiaan Bornauw Köln 2019,2019,Bundesliga,Köln,Centre-Back,BEL,1999,28,87,2.32,4.21,2.05,2.05,2.17,4.72,3.73,5.01,2.04,2.08,2.44,2.13,1.8,1.53,2.23,1.96,2.24,2.38,2.48,1.89,1.71
9,Dedryck Boyata Hertha BSC 2019,2019,Bundesliga,Hertha BSC,Centre-Back,BEL,1990,28,87,2.47,3.35,2.24,2.67,2.18,3.33,2.89,4.51,2.08,1.9,1.78,2.79,2.13,1.96,3.72,1.41,2.74,2.89,1.45,2.45,2.28
10,John Brooks Wolfsburg 2019,2019,Bundesliga,Wolfsburg,Centre-Back,USA,1993,25,89,2.24,2.3,2,2.18,2.4,2.67,2.74,1.33,2.21,2.2,1.99,2.04,1.89,1.8,2.31,2.11,2.32,2.71,1.75,2.61,2.88
11,Rafael Czichos Köln 2019,2019,Bundesliga,Köln,Centre-Back,GER,1990,26,85,2.34,2.52,2.11,2.18,2.53,2.68,2.78,2.29,1.94,2.09,2.19,1.99,2.2,1.81,2.43,2.23,2.09,2.44,2.78,2.7,2.11
12,Aleksandar Dragović Leverkusen 2019,2019,Bundesliga,Leverkusen,Centre-Back,AUT,1991,15,69,2.6,2.19,2.56,3.74,1.79,2.92,1.7,1.57,2.36,2.6,1.78,1.82,3.52,4.3,3.75,3.4,3.59,1.98,2.43,2.31,0.22
13,Nico Elvedi M'Gladbach 2019,2019,Bundesliga,M'Gladbach,Centre-Back,SUI,1996,32,82,2.64,2.19,2.22,2.87,2.79,1.97,1.62,3.33,1.78,1.41,1.85,2.27,2.7,2.69,4.05,1.35,2.62,2.74,3.06,2.12,2.99
14,Ohis Felix Uduokhai Augsburg 2019,2019,Bundesliga,Augsburg,Centre-Back,GER,1997,26,76,2.19,1.59,1.85,1.89,2.78,1.45,1.35,1.93,1.85,1.98,1.78,1.97,1.72,1.27,2.4,1.53,1.95,3.31,1.79,3.26,3.31
15,Marco Friedl Werder Bremen 2019,2019,Bundesliga,Werder Bremen,Centre-Back,AUT,1998,27,81,2.37,2.71,3.75,1.89,1.98,2.63,2.49,2.4,4.07,5.19,8.35,2.99,1.75,2.1,0.98,3.24,1.9,1.2,2.74,2.16,1.56
16,Marvin Friedrich Union Berlin 2019,2019,Bundesliga,Union Berlin,Centre-Back,GER,1995,31,90,2.17,2.69,2.15,1.66,2.47,2.56,3.02,2.68,2.42,2.19,2.67,2.58,1.53,1.03,1.66,1.98,1.87,2.71,2.96,2.36,1.57
17,Matthias Ginter M'Gladbach 2019,2019,Bundesliga,M'Gladbach,Centre-Back,GER,1994,31,90,2.72,2.59,2.71,3.11,2.43,2.7,3.06,2.05,2.35,2.65,2.01,1.97,3.67,3.35,2.77,3.1,3.39,2.72,1.63,1.84,3.76
18,Jeffrey Gouweleeuw Augsburg 2019,2019,Bundesliga,Augsburg,Centre-Back,NED,1991,21,78,1.98,1.37,2.05,1.64,2.39,1.1,0.98,2.05,1.62,2.34,2.08,2.27,1.7,1.26,1.48,1.89,1.91,1.47,2.69,2.48,2.87
19,Manuel Gulde Freiburg 2019,2019,Bundesliga,Freiburg,Centre-Back,GER,1991,17,81,2.74,2.91,2.82,2.67,2.71,3,3.23,2.64,2.48,2.95,3.22,2.81,2.6,2.23,2.91,2.82,2.56,2.22,2.16,2.9,3.91
