,player_details,player_name,season,league,team_id,position,primary_position,nationality,dob,age,apps,mins,total_mins,rating,scoring,creating,passing,defending,goals,shots,conversion,positioning,assists,crossing,dribbling,carries,involvement,accuracy,intent,receiving,aerial,on_ball,off_ball,fouls
0,Angeliño RB Leipzig 2019,Angeliño,2019,Bundesliga,RB Leipzig,FB,Left-Back,ESP,1997,25,13,84,1092,3.05,2.97,3.53,3.26,2.5,3.06,2.36,3.26,3.38,3.83,3.57,3.66,2.96,3.07,2.54,3.5,3.33,1.81,2.65,2.51,2.57
1,Ludwig Augustinsson Werder Bremen 2019,Ludwig Augustinsson,2019,Bundesliga,Werder Bremen,FB,Left-Back,SWE,1994,28,12,77,924,2.48,1.86,2.66,2.33,2.74,1.75,1.63,1.76,2.96,2.85,3.31,2.21,2.13,2.28,2.13,2.36,2.4,3.08,3.33,2.45,1.68
2,Ridle Baku Mainz 05 2019,Ridle Baku,2019,Bundesliga,Mainz 05,FB,Right-Back,GER,1998,24,30,78,2340,2.48,2.35,2.72,2.16,2.59,2.22,2.66,2.29,2.27,2.82,2.85,2.86,2.27,1.73,1.97,2.31,2.4,1.9,2.81,3.02,2.01
3,Ramy Bensebaini M'Gladbach 2019,Ramy Bensebaini,2019,Bundesliga,M'Gladbach,FB,Left-Back,ALG,1995,27,19,76,1444,2.54,4.01,2.39,2.54,1.99,4.67,4.23,3.45,2.36,2.49,1.55,3.1,2.54,2.78,3.03,2.04,2.94,3.45,1.77,3.49,0.04
4,Daniel Brosinski Mainz 05 2019,Daniel Brosinski,2019,Bundesliga,Mainz 05,FB,Right-Back,GER,1988,34,26,66,1716,2.83,2.81,3.45,2.7,2.37,2.63,3.35,2.35,3.3,5.09,4.01,2.19,2.31,2.46,1.14,3.48,2.24,2.08,1.93,2.6,3.17
5,Timothy Chandler Eint Frankfurt 2019,Timothy Chandler,2019,Bundesliga,Eint Frankfurt,FB,Right-Back,USA,1990,32,22,55,1210,2.34,4.85,2.35,1.46,1.84,5.02,4.83,5.77,2.33,2.14,3.97,1.52,1.49,0.87,0.61,2.12,1.29,3.88,1.65,1.33,1.71
6,Jamilu Collins Paderborn 07 2019,Jamilu Collins,2019,Bundesliga,Paderborn 07,FB,Left-Back,NGA,1994,28,30,89,2670,2.55,2.32,2.42,2.67,2.67,2.1,1.86,3.34,1.97,1.94,1.23,3.26,3.55,2.92,2.67,2.54,2.63,2.28,2.92,3.64,1.35
7,Danny da Costa Eint Frankfurt 2019,Danny da Costa,2019,Bundesliga,Eint Frankfurt,FB,Right-Back,GER,1993,29,19,73,1387,2.74,2.89,3.45,1.93,2.65,2.93,3.25,2.21,3.46,3.74,4.55,3.25,1.91,1.39,0.95,2.24,2.3,3.08,2.41,1.83,3.81
8,Alphonso Davies Bayern Munich 2019,Alphonso Davies,2019,Bundesliga,Bayern Munich,FB,Left-Back,CAN,2000,22,29,77,2233,3.72,3.45,4.17,3.64,3.52,3.67,2.7,3.7,3.76,3.34,2.85,5.95,4.71,4.12,4.13,3.31,3.53,2.26,4.72,3.03,2.31
9,Mohamed Dräger Paderborn 07 2019,Mohamed Dräger,2019,Bundesliga,Paderborn 07,FB,Right-Back,TUN,1996,26,18,81,1458,2.56,2.74,2.43,2.25,2.82,2.81,2.9,2.43,2.77,2.08,1.62,2.94,3.28,2.23,2.9,1.86,2.66,1.32,3.38,2.45,2.88
10,Kingsley Ehizibue Köln 2019,Kingsley Ehizibue,2019,Bundesliga,Köln,FB,Right-Back,NED,1995,27,31,75,2325,2.22,2.31,2.33,1.9,2.32,2.36,2.18,2.46,2.05,1.84,2.13,3.1,2.26,1.73,2.41,1.64,2.29,2.84,2.92,2.43,0.72
11,Raphael Framberger Augsburg 2019,Raphael Framberger,2019,Bundesliga,Augsburg,FB,Right-Back,GER,1995,27,18,65,1170,1.98,2.1,1.56,1.57,2.6,2.94,1.34,1.76,1.49,1.49,1.56,1.9,1.23,1.27,1.15,2.13,1.13,2.86,2.75,2.74,2.0
12,Theodor Gebre Selassie Werder Bremen 2019,Theodor Gebre Selassie,2019,Bundesliga,Werder Bremen,FB,Right-Back,CZE,1986,36,28,87,2436,2.32,2.72,1.65,2.39,2.67,2.85,2.14,3.42,2.03,1.77,1.57,1.44,1.89,2.18,3.66,2.11,2.54,3.25,2.42,2.45,3.11
13,Niko Gießelmann Düsseldorf 2019,Niko Gießelmann,2019,Bundesliga,Düsseldorf,FB,Left-Back,GER,1991,31,25,82,2050,2.18,2.22,2.02,2.45,2.1,2.06,2.15,2.74,1.83,2.15,2.31,1.7,1.85,2.12,2.62,2.62,2.42,2.9,1.77,2.28,2.17
14,Raphaël Guerreiro Dortmund 2019,Raphaël Guerreiro,2019,Bundesliga,Dortmund,FB,Left-Back,POR,1993,29,29,81,2349,3.55,4.91,3.24,4.11,2.77,5.31,5.27,4.5,3.55,2.98,1.98,3.78,4.52,4.78,4.22,3.83,3.88,1.05,3.33,1.85,3.54
15,Christian Günter Freiburg 2019,Christian Günter,2019,Bundesliga,Freiburg,FB,Left-Back,GER,1993,29,34,89,3026,2.47,2.54,3.49,2.39,1.59,2.11,2.71,2.7,3.38,4.56,4.6,1.84,2.77,2.0,1.93,2.7,2.44,0.82,1.24,1.0,3.33
16,Achraf Hakimi Dortmund 2019,Achraf Hakimi,2019,Bundesliga,Dortmund,FB,Right-Back,MAR,1998,24,33,82,2706,3.46,4.15,3.77,3.94,2.48,4.13,4.91,2.98,5.01,3.4,2.72,4.15,5.11,4.56,3.68,3.42,4.31,1.64,2.97,1.66,2.84
17,Marcel Halstenberg RB Leipzig 2019,Marcel Halstenberg,2019,Bundesliga,RB Leipzig,FB,Left-Back,GER,1991,31,29,87,2523,2.81,3.04,2.47,3.37,2.57,3.12,3.46,2.81,2.36,2.76,1.27,2.55,3.59,3.61,3.77,3.14,3.38,3.24,2.4,2.87,2.25
18,Laurent Jans Paderborn 07 2019,Laurent Jans,2019,Bundesliga,Paderborn 07,FB,Right-Back,LUX,1992,30,22,71,1562,2.36,1.67,2.03,2.23,3.08,1.59,1.52,1.86,1.9,1.68,1.92,2.12,2.46,2.08,2.6,2.21,2.27,2.31,3.42,2.6,3.33
19,Pavel Kadeřábek Hoffenheim 2019,Pavel Kadeřábek,2019,Bundesliga,Hoffenheim,FB,Right-Back,CZE,1992,30,30,82,2460,2.42,2.89,2.56,2.26,2.19,2.97,3.37,2.42,2.54,3.11,3.76,1.42,1.69,2.08,1.72,2.33,2.54,3.68,1.63,1.86,2.88
20,Noah Katterbach Köln 2019,Noah Katterbach,2019,Bundesliga,Köln,FB,Left-Back,GER,2001,21,18,73,1314,2.35,1.71,2.43,2.21,2.69,1.63,1.7,1.86,1.64,1.61,1.5,4.06,2.63,2.14,1.95,2.32,2.22,2.65,2.7,2.4,3.02
21,Jonjoe Kenny Schalke 04 2019,Jonjoe Kenny,2019,Bundesliga,Schalke 04,FB,Right-Back,ENG,1997,25,31,88,2728,2.32,2.58,1.85,2.47,2.51,2.59,2.17,3.19,2.17,1.55,1.92,2.06,1.87,2.29,2.66,2.71,2.18,2.17,2.51,2.39,2.79
