,player_details,player_name,season,league,team_id,position,primary_position,nationality,dob,age,apps,mins,total_mins,rating,scoring,creating,passing,defending,goals,shots,conversion,positioning,assists,crossing,dribbling,carries,involvement,accuracy,intent,receiving,aerial,on_ball,off_ball,fouls
0,Nadiem Amiri Leverkusen 2019,Nadiem Amiri,2019,Bundesliga,Leverkusen,W,Attacking Midfield,GER,1996,26,30,62,1860,2.65,1.73,3.04,3.66,2.27,1.37,2.58,1.34,2.32,3.69,2.12,2.41,3.71,4.23,3.49,3.61,3.24,1.63,2.04,2.65,2.58
1,Christopher Antwi-Adjei Paderborn 07 2019,Christopher Antwi-Adjei,2019,Bundesliga,Paderborn 07,W,Left Winger,GHA,1994,28,34,73,2482,2.04,1.71,2.33,1.95,2.26,1.68,1.6,1.19,2.73,2.17,2.45,1.85,2.71,1.87,2.28,2.0,1.79,2.58,1.93,1.88,3.29
2,Leon Bailey Leverkusen 2019,Leon Bailey,2019,Bundesliga,Leverkusen,W,Left Winger,JAM,1997,25,22,50,1100,2.97,3.41,3.63,2.66,1.69,3.63,3.27,3.25,2.83,2.86,4.47,3.99,3.4,2.66,1.9,2.7,2.98,2.75,1.38,2.02,1.5
3,Christoph Baumgartner Hoffenheim 2019,Christoph Baumgartner,2019,Bundesliga,Hoffenheim,W,Attacking Midfield,AUT,1999,23,26,57,1482,2.58,3.82,1.71,1.93,2.66,4.13,4.67,2.41,2.56,2.05,1.31,1.75,1.72,1.83,2.26,1.49,2.46,3.55,3.46,2.1,1.29
4,Ihlas Bebou Hoffenheim 2019,Ihlas Bebou,2019,Bundesliga,Hoffenheim,W,Right Winger,TOG,1994,28,32,66,2112,2.25,2.54,2.22,1.9,2.28,2.47,2.26,3.22,2.48,1.99,2.36,2.89,1.89,1.59,2.08,1.74,2.3,3.76,1.74,2.05,3.08
5,Karim Bellarabi Leverkusen 2019,Karim Bellarabi,2019,Bundesliga,Leverkusen,W,Right Winger,GER,1990,32,26,55,1430,3.22,3.36,3.93,2.98,2.24,3.09,4.82,1.63,4.19,3.06,4.55,3.68,4.51,3.14,1.98,2.86,3.48,1.22,2.68,1.76,2.34
6,Leonardo Bittencourt Werder Bremen 2019,Leonardo Bittencourt,2019,Bundesliga,Werder Bremen,W,Attacking Midfield,GER,1993,29,28,67,1876,2.57,2.12,2.73,2.88,2.64,2.03,1.95,2.6,2.29,2.48,3.27,1.84,3.03,3.06,2.61,2.77,2.98,2.23,3.8,2.25,0.84
7,Jean-Paul Boëtius Mainz 05 2019,Jean-Paul Boëtius,2019,Bundesliga,Mainz 05,W,Attacking Midfield,NED,1994,28,28,81,2268,2.41,1.92,2.13,2.76,3.17,1.79,1.69,2.66,1.97,2.3,1.28,2.7,2.52,2.45,2.94,3.31,2.23,1.88,4.15,3.1,1.73
8,Julian Brandt Dortmund 2019,Julian Brandt,2019,Bundesliga,Dortmund,W,Attacking Midfield,GER,1996,26,33,67,2211,3.16,2.08,3.02,4.76,3.0,1.97,2.03,2.08,2.66,2.88,1.47,3.52,4.74,5.49,4.03,4.26,5.09,2.55,3.25,2.23,3.58
9,Josip Brekalo Wolfsburg 2019,Josip Brekalo,2019,Bundesliga,Wolfsburg,W,Left Winger,CRO,1998,24,30,56,1680,2.78,2.26,3.25,3.25,2.31,2.01,2.63,2.02,3.06,3.82,2.53,2.71,3.72,3.1,2.18,3.68,3.33,1.82,2.09,2.06,3.27
10,Marius Bülter Union Berlin 2019,Marius Bülter,2019,Bundesliga,Union Berlin,W,Left Winger,GER,1993,29,32,73,2336,2.14,2.24,2.34,1.47,2.56,2.02,1.86,3.75,2.08,1.78,3.09,3.3,1.55,1.36,1.08,1.58,1.6,2.51,2.39,2.65,2.86
11,Daniel Caligiuri Schalke 04 2019,Daniel Caligiuri,2019,Bundesliga,Schalke 04,W,Right Winger,ITA,1988,34,28,82,2296,2.36,1.55,2.3,2.45,3.66,1.39,1.58,1.41,2.4,2.27,2.43,2.33,2.18,2.62,1.48,2.88,2.17,3.51,4.12,3.81,2.59
12,Kingsley Coman Bayern Munich 2019,Kingsley Coman,2019,Bundesliga,Bayern Munich,W,Left Winger,FRA,1996,26,24,63,1512,3.33,2.95,4.18,3.5,2.47,2.63,2.96,2.41,5.15,3.3,4.66,4.1,4.82,3.49,3.01,2.97,4.45,3.01,2.52,1.57,3.22
13,Philippe Coutinho Bayern Munich 2019,Philippe Coutinho,2019,Bundesliga,Bayern Munich,W,Attacking Midfield,BRA,1992,30,23,61,1403,3.74,4.09,3.26,4.57,2.78,4.22,5.18,2.58,3.33,3.59,1.68,3.65,4.47,4.23,3.78,5.3,4.32,2.13,3.14,1.45,3.89
14,Moussa Diaby Leverkusen 2019,Moussa Diaby,2019,Bundesliga,Leverkusen,W,Left Winger,FRA,1999,23,28,63,1764,2.84,2.89,3.99,2.43,1.63,2.66,3.47,2.48,3.41,3.01,4.85,4.24,4.09,2.32,2.54,2.01,3.04,1.09,1.18,1.4,3.05
15,Javairô Dilrosun Hertha BSC 2019,Javairô Dilrosun,2019,Bundesliga,Hertha BSC,W,Left Winger,NED,1998,24,23,57,1311,2.3,2.4,2.66,1.83,2.24,2.31,1.57,4.11,2.14,1.51,3.05,4.18,2.7,1.67,2.35,1.93,1.59,1.42,1.26,3.31,3.32
16,Dominick Drexler Köln 2019,Dominick Drexler,2019,Bundesliga,Köln,W,Attacking Midfield,GER,1990,32,27,59,1593,2.5,2.1,2.66,2.55,2.85,2.05,1.63,2.95,2.14,2.7,2.92,2.13,2.66,2.52,2.58,2.81,2.24,2.62,3.05,3.35,1.9
